id,name,TrackingID
20097,CronicCMCforXfinity,
20097,CronicGMCBuickAS3,
20097,CronicGMCBuickChryslerJeepDodge,
20097,CronicGMCBuickCJDforCHARTERclick,
20098,ATT,
20098,CronicAS3forXFINITY,
20098,CronicChevrolet,
20098,CronicChevyAS3,
20098,CronicChevyCHARTERclicktoexpand,
20099,EdVoylesHyundai,NULL
20100,EdVoylesKia,NULL
20101,OHaraMazda,NULL
20102,OHaraMazda,NULL
20102,OHaraMazdaVehix,NULL
20102,OHaraMazdaVLan,NULL
20103,AtlanticToyota,NULL
20104,TomClarkMotorsports,NULL
20105,InfinitiofNashua,NULL
20105,InfinityNashuaAS3,
20106,SmithMotorSales,NULL
20107,SubaruofWakefield,NULL
20110,LindersInc,NULL
20111,TimsTruckCapital,NULL
20112,LannanMitsubishi,NULL
20113,ColonialVWMedford,NULL
20114,LeeVolvoandJaguarWellesley,NULL
20115,PetersHondaofNashua,NULL
20116,PetersNissanofNashua,NULL
20117,PetersUsedCarsofNashua,NULL
20118,JaffarianVolvoToyotaScion,NULL
20119,TracyMotorsInc,NULL
20120,VendettiMotors,NULL
20121,AutoSmithCarCompany,NULL
20121,DEMO300,NULL
20123,BermansAutoGroup,NULL
20124,FeenyChryslerJeep,NULL
20125,728x90AS3,
20125,CityNorth,
20125,JCTest,
20125,MikAndersonChevyChicagoSOUTHWEST,
20125,MikeAndersonChevroletChicagoNORTHWEST,
20125,MikeAndersonChevyChicago,
20125,MikeAndersonChevyChicagoAS3,
20125,MikeAndersonChevyChicagoOAKPARK,
20125,MikeAndersonChevyChicagoSOUTHWEST,
20126,MikeAndersonChevyMerrillville,
20126,MikeAndersonChevyMerrillvilleAS3,
20126,MikeAndersonChevyMerrillvilleNLAKE,
20126,MikeAndersonChevyMerrillvillePORTER,
20126,MikeAndersonChevyMerrillvilleSLAKE,
20126,MikeAndersonChevyNORTHLAKE,
20126,NLake,
20127,GeraldHyundai,NULL
20128,GeraldNissanNorthAurora,NULL
20129,GeraldNissanofNaperville,NULL
